commodity,total_exports,total_imports,trade_balance
GOLD,383.55,487091.40,-486707.85
"COAL,COKE AND BRIQUITTES ETC",3570.75,488721.84,-485151.09
"ELECTRONICS COMPONENTS",14953.75,306389.40,-291435.65
"VEGETABLE OILS",1104.95,238976.04,-237871.09
"PEARL, PRECS, SEMIPRECS STONES",138396.40,370248.84,-231852.44
"PETROLEUM PRODUCTS",337358.70,519444.78,-182086.08
"PLASTIC RAW MATERIALS",20818.35,197195.28,-176376.93
"COMPUTER HARDWARE, PERIPHERALS",2075.35,175866.42,-173791.07
"FERTILEZERS MANUFACTURED",330.80,167950.86,-167620.06
"ORGANIC CHEMICALS",54731.90,216733.80,-162001.90
